model,encoding,fold,accuracy,macro_f1,SB_F1,WB_F1,NB_F1
DeepFFN,BLOSUM62,1,92.0,0.9204,0.9149,0.8816,0.9648
DeepFFN,ESM2_t6,1,82.56,0.8262,0.817,0.7381,0.9235
DeepFFN,BLOSUM62,2,92.58,0.9261,0.9205,0.8889,0.9691
DeepFFN,ESM2_t6,2,82.18,0.8223,0.804,0.733,0.9298
DeepFFN,BLOSUM62,3,91.71,0.9176,0.8999,0.875,0.9779
DeepFFN,ESM2_t6,3,80.54,0.8045,0.7963,0.6903,0.927
DeepFFN,BLOSUM62,4,92.39,0.9243,0.924,0.8886,0.9605
DeepFFN,ESM2_t6,4,81.79,0.8186,0.8126,0.7328,0.9104
DeepFFN,BLOSUM62,5,91.81,0.9182,0.9112,0.877,0.9665
DeepFFN,ESM2_t6,5,83.72,0.8368,0.8239,0.7493,0.9372
