#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
255000,510.00000000170706,-793853.4714806993,408.1601710269044,0.9752098975446526,0
260000,520.0000000015274,-820474.3660119493,358.50910997791595,0.9752098975446526,67.4
265000,530.0000000012909,-763212.0769494493,409.1369832463059,0.9752098975446526,67
270000,540.0000000010544,-675536.5535119493,409.3257383995001,0.9752098975446526,66.7
275000,550.000000000818,-1023321.3816369493,306.2398362524749,0.9752098975446526,66.7
280000,560.0000000005815,-594429.9910119493,469.60055103793763,0.9752098975446526,66.5
285000,570.000000000345,-872902.0261681993,352.6986025045716,0.9752098975446526,66.5
290000,580.0000000001086,-772864.2097619493,405.86708719682485,0.9752098975446526,66.5
295000,589.9999999998721,-843835.1628869493,354.7410369926638,0.9752098975446526,66.6
300000,599.9999999996356,-246198.07694944926,532.4015216518626,0.9752098975446526,66.6
305000,609.9999999993992,-677436.2956994493,383.85224847719684,0.9752098975446526,66.5
310000,619.9999999991627,-1040119.9792931993,305.7650109764947,0.9752098975446526,66.5
315000,629.9999999989262,-842514.4558556993,388.016930968477,0.9752098975446526,66.5
320000,639.9999999986898,-951777.6121056993,322.4315576024715,0.9752098975446526,66.5
325000,649.9999999984533,-980852.4167931993,319.8209895220135,0.9752098975446526,66.5
330000,659.9999999982168,-1040031.4167931993,322.4215286791087,0.9752098975446526,66.5
335000,669.9999999979804,-653580.9324181993,463.7862335569432,0.9752098975446526,66.5
340000,679.9999999977439,-198750.97929319926,593.6722457093412,0.9752098975446526,66.5
345000,689.9999999975074,-1000590.9988244493,313.3123657436987,0.9752098975446526,66.4
350000,699.999999997271,187135.39570680074,630.4045048832396,0.9752098975446526,66.2
355000,709.9999999970345,-679928.5535119493,367.2002044609849,0.9752098975446526,66.1
360000,719.999999996798,-1001736.0769494493,319.3051390668848,0.9752098975446526,66
365000,729.9999999965615,-759996.3347619493,364.36587831834083,0.9752098975446526,65.8
370000,739.9999999963251,-549450.5652306993,461.145971997509,0.9752098975446526,65.5
375000,749.9999999960886,-369115.78788694926,496.9051306368779,0.9752098975446526,65
380000,759.9999999958521,-1005031.3933556993,314.1493875533834,0.9752098975446526,64.6
385000,769.9999999956157,-897679.9011681993,355.1143440002898,0.9752098975446526,64.2
390000,779.9999999953792,-401170.82694944926,522.4728383612639,0.9752098975446526,63.8
395000,789.9999999951427,-614661.8386681993,465.3990712469659,0.9752098975446526,63.5
400000,799.9999999949063,-782184.2996056993,360.89348650743074,0.9752098975446526,63.3
405000,809.9999999946698,705065.7785193007,669.6671007506933,0.9752098975446526,57.2
410000,819.9999999944333,-887978.1160119493,376.41897271324507,0.9752098975446526,56.9
415000,829.9999999941969,-974489.3894494493,326.52876608730315,0.9752098975446526,57.2
420000,839.9999999939604,-1047686.0886681993,326.1448156389513,0.9752098975446526,57.5
425000,849.9999999937239,-304398.58866819926,525.087929289513,0.9752098975446526,57.7
430000,859.9999999934874,-793117.9363244493,428.7110081618087,0.9752098975446526,57.9
435000,869.999999993251,-1015389.6589806993,311.98532778882236,0.9752098975446526,58.1
440000,879.9999999930145,-1060735.7566369493,323.2928159769498,0.9752098975446526,58.3
445000,889.999999992778,-1040842.1199181993,307.9487598773636,0.9752098975446526,54.4
450000,899.9999999925416,-140811.15507444926,550.2235084042942,0.9752098975446526,54.2
455000,909.9999999923051,-970788.0496056993,329.10944404322873,0.9752098975446526,54.3
460000,919.9999999920686,265608.94258180074,675.5641076880421,0.9752098975446526,54.4
465000,929.9999999918322,-875437.5066369493,356.45563875798587,0.9752098975446526,54.4
470000,939.9999999915957,-37095.729293199256,444.94803173179963,0.9752098975446526,54.5
475000,949.9999999913592,-480245.82304319926,481.5155510910467,0.9752098975446526,54.7
480000,959.9999999911228,-856997.5886681993,328.29243091888065,0.9752098975446526,54.9
485000,969.9999999908863,-261553.87382444926,557.1599837513678,0.9752098975446526,55.1
490000,979.9999999906498,-839450.8699181993,329.0574804550203,0.9752098975446526,55
495000,989.9999999904134,-707762.8191369493,425.47323908006103,0.9752098975446526,53.7
500000,999.9999999901769,-678922.3894494493,410.6393798758648,0.9752098975446526,53.3
505000,1009.9999999899404,-773627.7722619493,382.1984839308037,0.9752098975446526,53.4
510000,1019.999999989704,-867438.9988244493,332.53112588135076,0.9752098975446526,53.6
515000,1029.9999999894676,-449661.82304319926,492.95176837635836,0.9752098975446526,53.7
520000,1039.9999999892311,-989650.6042931993,320.57286380589215,0.9752098975446526,53.9
525000,1049.9999999889947,-299812.84257444926,524.6114079456111,0.9752098975446526,54.1
530000,1059.9999999887582,-845546.1394494493,374.43039452683917,0.9752098975446526,54.2
535000,1069.9999999885217,42199.907425550744,439.02152796103076,0.9752098975446526,54.3
540000,1079.9999999882853,-1027615.6160119493,315.7692799027324,0.9752098975446526,54.5
545000,1089.9999999880488,-616091.2683556993,440.318405403735,0.9752098975446526,54.6
550000,1099.9999999878123,-850091.3894494493,348.4693711094905,0.9752098975446526,54.7
555000,1109.9999999875758,255413.63398805074,464.64395231141106,0.9752098975446526,54.8
560000,1119.9999999873394,-546429.5222619493,446.05745679811906,0.9752098975446526,54.3
565000,1129.999999987103,-846005.7058556993,345.86738169141887,0.9752098975446526,53.7
570000,1139.9999999868664,-451688.99101194926,465.75195169744853,0.9752098975446526,52.9
575000,1149.99999998663,-700425.2449181993,407.5968798313583,0.9752098975446526,53
580000,1159.9999999863935,-468002.68632444926,384.4836036158598,0.9752098975446526,53.1
585000,1169.999999986157,-621487.9128869493,447.4739439003419,0.9752098975446526,53.3
590000,1179.9999999859206,-777334.6902306993,379.8770093985574,0.9752098975446526,53.4
595000,1189.999999985684,-1066923.5417931993,309.0828885416724,0.9752098975446526,53.5
600000,1199.9999999854476,488259.27070680074,579.1733722100194,0.9752098975446526,53.6
605000,1209.9999999852112,-901856.0613244493,355.10303688081206,0.9752098975446526,53.7
610000,1219.9999999849747,-1035261.3855431993,313.69675864455184,0.9752098975446526,53.8
615000,1229.9999999847382,-719596.4519494493,342.5516672273586,0.9752098975446526,53.5
